id;code_postal;latitude;longitude
4464;13380;43.361351;5.46665096
4474;13830;43.2518501;5.62450552
4497;13109;43.4112129;5.44135761
4508;13111;43.553421;5.2583189
4519;14480;49.2859497;-0.515939295
4532;14350;48.9665108;-0.834929705
4544;14290;48.995575;0.20197247
4575;14970;49.2452736;-0.286832124
4613;14680;49.045723;-0.33117801
4638;14500;48.8906097;-0.940816522
4659;14110;48.8874283;-0.592108071
4675;14520;49.3297195;-0.742307186
3287;10260;48.1627998;4.2569356
3354;10280;48.4180527;3.8982141
3581;10000;48.2979088;4.08048058
3637;11800;43.2353172;2.52573824
3650;11110;43.1909866;3.09504485
3671;11500;42.8495598;2.20965695
3687;11270;43.1680145;2.07436275
3913;11610;43.2508736;2.31009579
4081;12390;44.4160767;2.23440981
4102;12500;44.5163765;2.71472263
4116;12800;44.1895142;2.29047346
4142;12330;44.4071617;2.40729094
4372;13104;43.5223351;4.65020752
4390;13440;43.8601036;4.94441509
4395;13600;43.2168236;5.63782167
4407;13430;43.7185555;5.01507282
4420;13800;43.5200005;4.98385048
4432;13005;43.2593346;5.370368
4437;13010;43.2593346;5.370368
4448;13650;43.6109276;5.53662062
4462;13124;43.3873825;5.57312107
4472;13870;43.8967781;4.79666615
4485;13460;43.4819183;4.39989567
4492;13730;43.4151344;5.25461626
4501;13126;43.5563011;5.60495758
4510;14600;49.3910904;0.285148352
4520;14860;49.2499466;-0.23577702
4547;14270;49.0810127;0.0117309345
4561;14620;48.928688;-0.0344075859
4581;14990;49.3203735;-0.42071557
4630;14630;49.1542358;-0.254279882
4645;14650;49.1867638;-0.455705464
4837;14530;49.3104439;-0.356930852
3464;10420;48.3037071;4.04448271
3611;10370;48.6008759;3.55509162
3638;11320;43.368782;1.87472343
3699;11260;42.9125748;2.20004439
3716;11230;43.0744781;1.98997247
3752;11590;43.2570534;3.0020411
3809;11380;43.3549118;2.37562084
3823;11480;42.9584732;2.99054933
4074;12520;44.1630249;3.06642175
4083;12290;44.3191719;2.80570269
4098;12550;43.9478226;2.52849555
4115;12150;44.3078423;3.04099894
4143;12540;43.8302345;3.17483735
4198;12440;44.2299614;2.15143228
4271;12250;43.9704247;2.98464751
4318;12410;44.1681557;2.77665734
4373;13123;43.5223351;4.65020752
4383;13520;43.7436371;4.80629015
4392;13950;43.3980598;5.53885508
4402;13780;43.2732201;5.70497417
4414;13420;43.297966;5.65045977
4423;13410;43.6687431;5.24631834
4433;13006;43.2593346;5.370368
4446;13103;43.786808;4.76357603
4468;13114;43.5205612;5.67658758
4478;13670;43.8329353;4.94109058
4487;13920;43.4586983;5.01446438
4503;13770;43.5897331;5.48721647
4516;14540;49.0870743;-0.187816352
4525;14430;49.2449074;-0.0234883334
4536;14960;49.3323364;-0.584566414
4583;14100;49.1286201;0.251576811
4622;14160;49.2480621;-0.106156699
4635;14230;49.3431396;-1.01496327
4691;14470;49.3232193;-0.453195721
4734;14850;49.2063637;-0.247243136
4769;14590;49.169342;0.377440155
3643;11330;42.9453926;2.43864894
3669;11420;43.2008476;1.76330245
3692;11160;43.3800735;2.47434306
3749;11350;42.8516808;2.60552597
3923;11440;43.0946045;2.94965625
3955;11540;43.0194931;2.93931079
4078;12420;44.7696762;2.81104326
4095;12200;44.3047333;2.13458371
4117;12400;43.9546852;2.75490022
4151;12170;44.0225754;2.59097815
4367;13100;43.5133553;5.38119459
4378;13930;43.7100601;4.94328642
4397;13790;43.4859962;5.57390547
4406;13810;43.7637062;4.94424486
4421;13490;43.6274261;5.65455246
4431;13004;43.2593346;5.370368
4442;13015;43.2593346;5.370368
4451;13105;43.418766;5.50149202
4465;13750;43.8127327;5.0074296
4477;13740;43.3553696;5.25336075
4494;13960;43.337326;5.11467743
4505;13116;43.6827545;5.18774605
4517;14210;49.0940819;-0.430636793
4527;14610;49.2645493;-0.414297968
4538;14640;49.3110504;-0.028699575
4572;14950;49.2672958;0.11015211
4594;14690;48.9061279;-0.440758854
4612;14740;49.2048988;-0.539530277
4624;14320;49.1112061;-0.413104683
4670;14880;49.2740517;-0.303846955
3641;11290;43.1809158;2.23385978
3649;11200;43.2447433;2.77032876
3664;11340;42.8316422;1.95081782
3688;11390;43.3448639;2.23998976
4076;12300;44.5973244;2.30798507
4087;12130;44.4986839;3.00073361
4101;12310;44.4077797;2.78612781
4112;12480;44.0224686;2.70468688
4123;12460;44.6792412;2.61658931
4148;12100;44.0968704;2.98116136
4366;13090;43.5133553;5.38119459
4377;13400;43.2977753;5.55253077
4387;13320;43.4435196;5.41199875
4401;13250;43.5779037;5.06947613
4411;13270;43.4310074;4.89015627
4417;13690;43.851162;4.77196455
4430;13003;43.2593346;5.370368
4440;13013;43.2593346;5.370368
4459;13821;43.2796326;5.51749706
4471;13840;43.6747818;5.35234642
4488;13115;43.6835976;5.75302792
4504;13122;43.5413361;5.29777002
4513;14710;49.3374519;-0.913276851
4524;14250;49.1319656;-0.703974783
4548;14340;49.0810127;0.0117309345
4683;14123;49.1532288;-0.325038493
4708;14840;49.193264;-0.261119992
4821;14780;49.3015137;-0.332261771
4854;14920;49.2577362;-0.367389292
4868;14120;49.176075;-0.316199541
3531;10180;48.3710861;4.03551722
3642;11360;43.0115089;2.72498274
3652;11220;43.1063576;2.49153781
3660;11100;43.1215172;2.9639256
3673;11000;43.2131462;2.40613389
3721;11570;43.1665878;2.33435798
4060;11620;43.2449341;2.36868334
4073;12630;44.3475533;2.68250561
4084;12120;44.189846;2.67286015
4094;12510;44.3728828;2.47044587
4104;12270;44.2001343;2.08460736
4118;12450;44.2662544;2.51812267
4150;12470;44.6033478;2.87655926
4365;13080;43.5133553;5.38119459
4375;13200;43.5223351;4.65020752
4385;13720;43.4166412;5.58132124
4396;13350;43.7121086;5.25126028
4405;13820;43.3450012;5.20722055
4419;13118;43.5200005;4.98385048
4426;13370;43.7193832;5.19428396
4436;13009;43.2593346;5.370368
4443;13016;43.2593346;5.370368
4453;13940;43.8015175;4.93482065
4467;13230;43.3966675;4.84434032
4473;13640;43.7081985;5.30902767
4495;13560;43.7433777;5.06276608
4507;13127;43.4520073;5.27021408
4515;14370;49.0870743;-0.187816352
4535;14117;49.3364716;-0.619286537
4542;14770;48.9854774;-0.644896746
4554;14940;49.1648712;-0.225709185
4576;14440;49.2890778;-0.43864876
4614;14760;49.1687202;-0.418227613
4628;14390;49.2813148;-0.125658929
4701;14450;49.3775902;-1.00145805
4751;14790;49.1438637;-0.453803718
4780;14810;49.2596893;-0.186660513
4912;50420;48.9636497;-1.06730902
3640;11240;43.0992889;2.08718824
3648;11120;43.3133965;2.91499662
3662;11410;43.3320732;1.82109225
3806;11430;43.1034698;3.09122944
3837;11370;42.903759;3.02269197
4011;11130;43.0370483;2.97094965
4080;12260;44.4938278;1.93491983
4092;12380;43.8949165;2.57971573
4108;12340;44.4778786;2.71473265
4138;12620;44.139061;2.92619371
4163;12640;44.1692619;3.1639185
4368;13290;43.5133553;5.38119459
4379;13390;43.365799;5.64905834
4389;13150;43.8751984;4.69765854
4399;13160;43.8705101;4.82904339
4409;13580;43.5487938;5.21052074
4415;13180;43.3893166;5.23295403
4425;13910;43.827179;4.78439426
4435;13008;43.2593346;5.370368
4445;13500;43.3666306;5.03624916
4456;13660;43.77948;5.02218199
4469;13610;43.6490593;5.43413734
4489;13210;43.7777023;4.85338688
4500;13530;43.4368553;5.7145071
4511;14220;48.9695168;-0.373869389
4522;14170;48.9994736;0.0242739916
4530;14380;48.8971977;-1.00393069
4545;14280;49.2053299;-0.428626776
4574;14910;49.337101;0.0483159423
4599;14800;49.3275375;0.118874177
4779;14510;49.2935753;-0.0378410891
4794;14200;49.2073212;-0.330283403
4814;14980;49.2212257;-0.487186283
4900;14150;49.2720642;-0.258955449
3527;10410;48.2697868;4.18718719
3644;11580;42.9912033;2.26484489
3690;11400;43.4105072;2.04728389
3722;11510;42.9364128;2.96206689
3900;11210;43.0256271;3.03927541
4077;12210;44.7696762;2.81104326
4096;12240;44.3047333;2.13458371
4124;12580;44.5657234;2.58142662
4155;12190;44.5840263;2.73772693
4246;12850;44.381916;2.56433344
4370;13190;43.3496513;5.50295353
4381;13330;43.623333;5.20557404
4393;13620;43.3368416;5.15437984
4403;13112;43.3784943;5.59963751
4412;13710;43.4638977;5.55944443
4422;13113;43.7049637;5.08397818
4427;13700;43.4214325;5.22231913
4441;13014;43.2593346;5.370368
4455;13550;43.8577385;4.90460491
4466;13110;43.4153976;4.99049282
4475;13360;43.3411369;5.60176992
4490;13119;43.4072647;5.53766537
4502;13880;43.5296631;5.24969578
4514;14190;49.0870743;-0.187816352
4523;14240;49.1319656;-0.703974783
4539;14700;48.9141998;-0.216724366
4563;14670;49.2101822;-0.13614364
